Func_ID,Function Name,Event Input,Serverless Platform,Language,Timeout (second),Memory (MB),Original Code Link,Benchmark,specific functionality,Correspond to Paper_titile,,,,,,,
Func11,Fun11gzip,{"file_size":5},AWS Lambda,Python,10,128,https://github.com/Molecule-Serverless/serverless-faas-workbench/tree/296f5f2709b3e7b168db00473d0a28b8bf1c062f/aws/disk/gzip_compression,FunctionBench,gzip Compression,Serverless computing on heterogeneous computers,"Accelerating Extra Dimensional Page Walks for Confidential
Computing",Ilúvatar: A Fast Control Plane for Serverless Computing,,,,,
Func12,Fun12-dev-imageConvertorFun,"{'img': ""test.jpg"", 'height': 200, 'width': 200}",AWS Lambda,Python,3,128,https://github.com/Molecule-Serverless/rfork-python-runtime/tree/c84e60e2295a36336df4338981e574486f6566a1/baseline-image/img-convertor,ServerlessBench,imgae convertor,Serverless computing on heterogeneous computers,,,,,,,
Func13,Fun13helloworld,"{""key1"": ""value1"",""key2"": ""value2"",""key3"": ""value3""}",AWS Lambda,Python,3,128,,,A simple hello world,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots",Ilúvatar: A Fast Control Plane for Serverless Computing,,,,,,
Func14,Fun14json_dumps_loads,{"link": "https://jsonplaceholder.typicode.com/users"},AWS Lambda,Python,3,128,https://github.com/ddps-lab/serverless-faas-workbench/tree/master/aws/network/json_dumps_loads,FunctionBench,network/json_dumps_load,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots","Understanding, predicting and scheduling serverless workloads under partial interference",FaaSnap: FaaS made fast using snapshot-based VMs,Ilúvatar: A Fast Control Plane for Serverless Computing,,,,
Func15,Fun15,"{""x"": ""The ambiance is magical. The food and service was nice! The lobster and cheese was to die for and our steaks were cooked perfectly."", ""dataset_object_key"": ""reviews20mb.csv"", ""dataset_bucket"": ""bucketwendycyn"", ""model_bucket"": ""bucketwendycyn1"", ""model_object_key"": ""lr_model.pk""}",AWS Lambda,Python,20,512,https://github.com/ddps-lab/serverless-faas-workbench/tree/master/aws/cpu-memory/model_serving/ml_lr_prediction,FunctionBench,model_serving/ml_lr_prediction/,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots",Faster and Cheaper Serverless Computing on Harvested Resources,MXFaaS: Resource Sharing in Serverless Environments for Parallelism and Efficiency,Ilúvatar: A Fast Control Plane for Serverless Computing,,,,
Func16,Fun16RLTrain,"{""dataset_object_key"": ""reviews20mb.csv"", ""dataset_bucket"": ""bucketwendycyn"", ""model_bucket"": ""bucketwendycyn1"", ""model_object_key"": ""lr_model_new.pk""}",AWS Lambda,Python,30,512,https://github.com/ddps-lab/serverless-faas-workbench/tree/master/aws/cpu-memory/model_training,FunctionBench,model_training,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots","Understanding, predicting and scheduling serverless workloads under partial interference",Memory deduplication for serverless computing with Medes,MXFaaS: Resource Sharing in Serverless Environments for Parallelism and Efficiency,Ilúvatar: A Fast Control Plane for Serverless Computing,,,
Func17,Fun17Classify,"{""object_key"": ""animal-dog.jpg"", ""input_bucket"": ""bucketwendycyn"", ""model_bucket"": ""bucketwendycyn1"", ""model_object_key"": ""squeezenet_weights_tf_dim_ordering_tf_kernels.h5""}",AWS Lambda,Python,10,512,https://github.com/ddps-lab/serverless-faas-workbench/tree/master/aws/cpu-memory/model_serving/cnn_image_classification,FunctionBench,cnn_image_classification,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots","Understanding, predicting and scheduling serverless workloads under partial interference",Faster and Cheaper Serverless Computing on Harvested Resources,MXFaaS: Resource Sharing in Serverless Environments for Parallelism and Efficiency,Ilúvatar: A Fast Control Plane for Serverless Computing,,,
Func18,Fun18RNN,"{""language"": ""German"",""start_letters"": ""ABCDEFGHIJKLMNOP"", ""model_bucket"": ""bucketwendycyn"",""model_object_key"": ""rnn_model.pth"", ""model_parameter_object_key"": ""rnn_params.pkl""}",AWS Lambda,Python,10,512,https://github.com/ddps-lab/serverless-faas-workbench/tree/master/aws/cpu-memory/model_serving/rnn_generate_character_level,FunctionBench,rnn_generate_character_level,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots","Understanding, predicting and scheduling serverless workloads under partial interference",Memory deduplication for serverless computing with Medes,MXFaaS: Resource Sharing in Serverless Environments for Parallelism and Efficiency,,,,
Func19,aws-authfun19-dev-auth,{"body":"https://www.baidu.com/"},AWS Lambda,JavaScript,5,128,https://github.com/aws-samples/aws-cognito-quicksight-auth,AWS Samples,login authentication,Confidential Serverless Made Efficient with Plug-In Enclaves,,,,,,,
Func20,facefun20-dev-faceFun,input/func20_input.json,AWS Lambda,Python,20,128,https://github.com/aws-samples/rekognition-face-blur-sam-app,AWS Samples,rekognition-face-blur-sam-app,Confidential Serverless Made Efficient with Plug-In Enclaves,,,,,,,
Func21,Fun21bot-dev-botFun,"{""trigger_word"":""show"",""text"": ""you show me.""}",AWS Lambda,Python,3,128,https://github.com/aws-samples/aws-serverless-chatbot-sample/tree/master/python,AWS Samples,aws-serverless-chatbot-sample,Confidential Serverless Made Efficient with Plug-In Enclaves,,,,,,,
Func22,Fun22videopro-dev-videoFun,"{""input_bucket"": ""bucketwendycyn"", ""object_key"": ""SampleVideo_1280x720_10mb.mp4"", ""output_bucket"": ""bucketwendycyn1""}",AWS Lambda,Python,100,512,https://github.com/Molecule-Serverless/serverless-faas-workbench/tree/296f5f2709b3e7b168db00473d0a28b8bf1c062f/aws/cpu-memory/video_processing,FunctionBench,Video processing,Serverless computing on heterogeneous computers,Faster and Cheaper Serverless Computing on Harvested Resources,Memory deduplication for serverless computing with Medes,MXFaaS: Resource Sharing in Serverless Environments for Parallelism and Efficiency,Ilúvatar: A Fast Control Plane for Serverless Computing,,,
Func23,Fun23getPrice,{"id":6},AWS Lambda,JavaScript,3,128,https://bitbucket.org/sts-lab/alastor/src/master/aws/lambdas/getPrice/handler.js,"Hello,Retail!",getPrice,ALASTOR: Reconstructing the Provenance of Serverless Intrusions,Secure serverless computing using dynamic information flow control,,,,,,
Func24,Fun24Publish,"{""id"":10,""price"":80.76,""user"":""cynthia"",""authorization"":""finished"",    ""approved"": ""true"",""failureReason"":""epsagon problem""}",AWS Lambda,JavaScript,3,128,https://bitbucket.org/sts-lab/alastor/src/master/aws/lambdas/publish/handler.js,"Hello,Retail!",Price,ALASTOR: Reconstructing the Provenance of Serverless Intrusions,Secure serverless computing using dynamic information flow control,,,,,,
Func25,speechFun25-dev-speech,"{""batch_size"":5,""file_name"":""data_smoke_test_LDC93S1.wav""}",AWS Lambda,Python,60,512,https://github.com/Iam-ahsan/MBS/tree/main/lambda_package,Speech-to-test application,,Optimizing Inference Serving on Serverless Platforms,,,,,,,
Func26,Fun26extract-image-dev-extract,"{""s3Bucket"": ""bucketwendycyn"", ""s3Key"": ""test_input.jpg""}",AWS Lambda,JavaScript,10,128,https://github.com/aws-samples/lambda-refarch-imagerecognition/tree/main/lambda-functions/extract-image-metadata,Serverlessbench,Testcase4-Application-breakdown/image-process/extract image metadata,Netherite: Efficient Execution of Serverless Workflows,"Understanding, predicting and scheduling serverless workloads under partial interference","Accelerating Extra Dimensional Page Walks for Confidential
Computing",,,,,
Func27,Fun27rekognition,"{""s3Bucket"": ""bucketwendycyn"", ""s3Key"": ""test_input.jpg""}",AWS Lambda,JavaScript,10,128,https://github.com/aws-samples/lambda-refarch-imagerecognition/tree/main/lambda-functions/rekognition,Serverlessbench,Testcase4-Application-breakdown/image-process/rekognition,Netherite: Efficient Execution of Serverless Workflows,"Understanding, predicting and scheduling serverless workloads under partial interference","Accelerating Extra Dimensional Page Walks for Confidential
Computing",,,,,
Func28,Fun28thumbnail-dev-thumbnail,"{""s3Bucket"": ""bucketwendycyn"",""s3Key"": ""1.jpeg"",""objectID"": ""l3j4234-234"", ""extractedMetadata"": { ""dimensions"": {""width"": 4567,      ""height"": 3456}}}",AWS Lambda,JavaScript,10,128,https://github.com/aws-samples/lambda-refarch-imagerecognition/tree/main/lambda-functions/thumbnail,Serverlessbench,Testcase4-Application-breakdown/image-process/thumbnail,Netherite: Efficient Execution of Serverless Workflows,"Understanding, predicting and scheduling serverless workloads under partial interference","Accelerating Extra Dimensional Page Walks for Confidential
Computing",,,,,
Func29,Fun29transform-metadata,input/func29_input.json,AWS Lambda,JavaScript,3,128,https://github.com/aws-samples/lambda-refarch-imagerecognition/tree/main/lambda-functions/transform-metadata,Serverlessbench,Testcase4-Application-breakdown/image-process/transform metadata,Netherite: Efficient Execution of Serverless Workflows,"Understanding, predicting and scheduling serverless workloads under partial interference","Accelerating Extra Dimensional Page Walks for Confidential
Computing",,,,,
Func30,Fun30feature-dev-extract,"{""input_bucket"":""bucketwendycyn"",""key"":""reviews20mb.csv""}",AWS Lambda,Python,200,256,https://github.com/ddps-lab/serverless-faas-workbench/tree/master/aws/cpu-memory/feature_generation/feature_extractor,FunctionBench,Feature extractor,"Understanding, predicting and scheduling serverless workloads under partial interference",Memory deduplication for serverless computing with Medes,,,,,,
Func31,Fun31featurereducor,{"input_bucket":"bucketwendycyn2"},AWS Lambda,Python,20,512,https://github.com/ddps-lab/serverless-faas-workbench/tree/master/aws/cpu-memory/feature_generation/feature_reducer,FunctionBench,Feature reducer,"Understanding, predicting and scheduling serverless workloads under partial interference",Memory deduplication for serverless computing with Medes,Memento: Architectural Support for Ephemeral Memory Management in Serverless Environments,,,,,
Func32,Fun32float_operation,{"n":1000},AWS Lambda,Python,3,128,https://github.com/ddps-lab/serverless-faas-workbench/tree/master/aws/cpu-memory/float_operation,FunctionBench,float_operation,"Understanding, predicting and scheduling serverless workloads under partial interference",Faster and Cheaper Serverless Computing on Harvested Resources,Memory deduplication for serverless computing with Medes,Ilúvatar: A Fast Control Plane for Serverless Computing,,,,
Func33,Fun33sequential_disk_io,"{""file_size"": 8,""byte_size"":4}",AWS Lambda,Python,3,128,https://github.com/ddps-lab/serverless-faas-workbench/tree/master/aws/disk/sequential_disk_io,FunctionBench,sequential_disk_io,"Understanding, predicting and scheduling serverless workloads under partial interference",,,,,,,
Func34,Fun34Alu,"{""execTime"": 1000,""loopTime"": 100}",AWS Lambda,Python,10,128,https://github.com/SJTU-IPADS/ServerlessBench/blob/master/Testcase1-Resource-efficiency/code/alu.py,ServerlessBench,testcase1/alu,"Understanding, predicting and scheduling serverless workloads under partial interference",,,,,,,
Func35,Fun35keyDownloader,{"key1":"value1"},AWS Lambda,Python,5,128,https://github.com/SJTU-IPADS/ServerlessBench/blob/master/Testcase1-Resource-efficiency/code/keyDownloader.py,ServerlessBench,testcase1/keyDownloader,"Understanding, predicting and scheduling serverless workloads under partial interference",,,,,,,
Func36,Fun36together,"{""key"":""loopTime.txt"",""execTime"": 1000,""loopTime"": 10}",AWS Lambda,Python,5,128,https://github.com/SJTU-IPADS/ServerlessBench/blob/master/Testcase1-Resource-efficiency/code/together.py,ServerlessBench,testcase1/together,"Understanding, predicting and scheduling serverless workloads under partial interference",,,,,,,
Func37,Fun37head,"{""payload_size"": 100,""uploadTime"": 1589702810028,""retTime"": 1589702811486}",AWS Lambda,Python,3,128,https://github.com/SJTU-IPADS/ServerlessBench/tree/master/Testcase5-Data-transfer-costs/AWS/code,ServerlessBench,testcase5/AWS,"Understanding, predicting and scheduling serverless workloads under partial interference",,,,,,,
Func38,Fun38head,"{""payload_size"": 100,""uploadTime"": 1589702810028,""retTime"": 1589702811486}",AWS Lambda,Python,5,128,https://github.com/SJTU-IPADS/ServerlessBench/tree/master/Testcase5-Data-transfer-costs/AWS/code,ServerlessBench,testcase5/AWS,"Understanding, predicting and scheduling serverless workloads under partial interference",,,,,,,
Func39,Fun39tail,"{""payload_size"": 100,""uploadTime"": 1589702810028,""retTime"": 1589702811486}",AWS Lambda,Python,5,128,https://github.com/SJTU-IPADS/ServerlessBench/tree/master/Testcase5-Data-transfer-costs/AWS/code,ServerlessBench,testcase5/AWS,"Understanding, predicting and scheduling serverless workloads under partial interference",,,,,,,
Func40,Fun40split-dev-video,"{""src_name"": ""0"",""DOP"": ""30"",""detect_prob"": 2 }",AWS Lambda,Python,30,128,https://github.com/icanforce/Orion-OSDI22/tree/main/Benchmarks_AWS_Lambda/Video-Analytics/Split,Video processing,split,"Orion and the Three Rights: Sizing, Bundling, and Prewarming for Serverless DAGs",,,,,,,
Func41,Fun41extract-dev-video,"{""values"": [0], ""source_id"": ""0"", ""millis"": [1667464845061], ""detect_prob"": 2}",AWS Lambda,Python,10,128,https://github.com/icanforce/Orion-OSDI22/tree/main/Benchmarks_AWS_Lambda/Video-Analytics/Extract,Video processing,extract,"Orion and the Three Rights: Sizing, Bundling, and Prewarming for Serverless DAGs",,,,,,,
Func42,Fun42classify,"{""millis1"": [1667464845061],""millis2"": [1667466554979], ""source_id"": ""0"",  ""detect_prob"": 2, ""values"": [0]}",AWS Lambda,Python,60,1024,https://github.com/icanforce/Orion-OSDI22/tree/main/Benchmarks_AWS_Lambda/Video-Analytics/Classify,Video processing,classify,"Orion and the Three Rights: Sizing, Bundling, and Prewarming for Serverless DAGs",,,,,,,
Func43,Fun43PCA-dev-pca,"event1={
  ""bundle_size"": 4,
  ""key1"": ""300""
}",AWS Lambda,Python,60,1024,https://github.com/icanforce/Orion-OSDI22/tree/main/Benchmarks_AWS_Lambda/ML-Pipeline/PCA,ML-pipeline,PCA,"Orion and the Three Rights: Sizing, Bundling, and Prewarming for Serverless DAGs",,,,,,,
Func44,Fun44ParamTune,"{""mod_index"": 4,""PCA_Download"": 410, ""PCA_Process"": 13881,       ""PCA_Upload"": 1131, ""key1"": ""inv_300"", ""num_of_trees"": [5,10,15,20],        ""max_depth"": [10,10,10,10],""feature_fraction"": [0.95, 0.95,0.95,0.95],        ""threads"": 6}",AWS Lambda,Python,600,512,https://github.com/icanforce/Orion-OSDI22/blob/main/Benchmarks_AWS_Lambda/ML-Pipeline/ParamTune/lambda_function.py,ML-pipeline,ParamTune,"Orion and the Three Rights: Sizing, Bundling, and Prewarming for Serverless DAGs",,,,,,,
Func45,Fun45CombineModels,"{""trees_max_depthes"": [""5_10_0.95"",""10_10_0.95"",""15_10_0.95"",    ""20_10_0.95""], ""accuracies"": [ 0.9242, 0.9542, 0.9716, 0.9802]}",AWS Lambda,Python,3,128,https://github.com/icanforce/Orion-OSDI22/blob/main/Benchmarks_AWS_Lambda/ML-Pipeline/CombineModels/lambda_function.py,ML-pipeline,CombineModels,"Orion and the Three Rights: Sizing, Bundling, and Prewarming for Serverless DAGs",,,,,,,
Func46,Fun46SplitChatBot-dev-bot,"{""skew"": 4,""bundle_size"": 1,""Network_Bound"": 1}",AWS Lambda,Python,60,128,https://github.com/icanforce/Orion-OSDI22/blob/main/Benchmarks_AWS_Lambda/ChatBot/SplitChatBot/lambda_function.py,ChatBot,SplitChatBot,"Orion and the Three Rights: Sizing, Bundling, and Prewarming for Serverless DAGs",,,,,,,
Func47,Fun47TrainIntentClassifier-dev-bot,"{""values"":[{""intent_name"": ""Greeting"", ""skew"": 4,          ""Network_Bound"": 1}],""duration"": 14019}",AWS Lambda,Python,10,256,https://github.com/icanforce/Orion-OSDI22/blob/main/Benchmarks_AWS_Lambda/ChatBot/TrainIntentClassifier/lambda_function.py,ChatBot,TrainIntentClassifier,"Orion and the Three Rights: Sizing, Bundling, and Prewarming for Serverless DAGs",,,,,,,
Func48,Fun48compression_handler,"{""bucket"": {""input"":""bucketwendycyn1"",""output"":""bucketwendycyn""}, ""object"": {""key"":""Fun48Dir""}}",AWS Lambda,Python,60,256,https://github.com/spcl/serverless-benchmarks/tree/master/benchmarks/300.utilities/311.compression,SeBS,compression,FaaSnap: FaaS made fast using snapshot-based VMs,A Mean-Field Game Approach to Cloud Resource Management with Function Approximation,Canary: Fault-Tolerant FaaS for Stateful Time-Sensitive Applications,,,,,
Func49,Fun49pagerank-dev-function,{"size":1000},AWS Lambda,Python,120,512,https://github.com/spcl/serverless-benchmarks/tree/master/benchmarks/500.scientific/501.graph-pagerank,SeBS,graph-pagerank,FaaSnap: FaaS made fast using snapshot-based VMs,A Mean-Field Game Approach to Cloud Resource Management with Function Approximation,Using Unused: Non-Invasive Dynamic FaaS Infrastructure with HPC-Whisk,,,,,
Func50,Fun50recognization,"{""bucket"":{""input"":""bucketwendycyn"", ""model"":""bucketwendycyn""},""object"":{""input"":""animal-dog.jpg"", ""model"":""resnet50-19c8e357.pth""}}",AWS Lambda,Python,10,1024,https://github.com/spcl/serverless-benchmarks/tree/master/benchmarks/400.inference/411.image-recognition,SeBS,image recognization,FaaSnap: FaaS made fast using snapshot-based VMs,A Mean-Field Game Approach to Cloud Resource Management with Function Approximation,Memento: Architectural Support for Ephemeral Memory Management in Serverless Environments,,,,,
Func51,fun51factor,{},Google Cloud Functions,JavaScript,60,256,https://github.com/faas-benchmarking/faasdom/tree/master/google/src/node/factors,FaaSDom,factors,"Fireworks: a fast, efficient, and safe serverless framework using VM-level post-JIT snapshot",,,,,,,
Func52,fun52matrix,{},Google Cloud Functions,JavaScript,60,256,https://github.com/faas-benchmarking/faasdom/tree/master/google/src/node/matrix,FaaSDom,matrix,"Fireworks: a fast, efficient, and safe serverless framework using VM-level post-JIT snapshot",,,,,,,
Func53,fun53filesystem,{},Google Cloud Functions,JavaScript,60,1024,https://github.com/faas-benchmarking/faasdom/tree/master/google/src/node/filesystem,FaaSDom,filesystem,"Fireworks: a fast, efficient, and safe serverless framework using VM-level post-JIT snapshot",,,,,,,
Func54,Fun54identifyphi,input/func54_input.json,AWS Lambda,Python,3,128,https://github.com/csl-iisc/faastlane/blob/master/benchmarks/phi-data/identifyphi.py,Healthcare Analytics,identifyphi,Faastlane: Accelerating function-as-a-service workflows,,,,,,,
Func55,Fun55anonymize,input/func55_input.json,AWS Lambda,Python,3,128,https://github.com/csl-iisc/faastlane/blob/master/benchmarks/phi-data/anonymize.py,Healthcare Analytics,anonymize,Faastlane: Accelerating function-as-a-service workflows,,,,,,,
Func56,Fun56deidentify,input/func56_input.json,AWS Lambda,Python,3,128,https://github.com/csl-iisc/faastlane/blob/master/benchmarks/phi-data/deidentify.py,Healthcare Analytics,deidentify,Faastlane: Accelerating function-as-a-service workflows,,,,,,,
Func57,Fun57analytics-dev-analytics,input/func57_input.json,AWS Lambda,Python,3,128,https://github.com/csl-iisc/faastlane/blob/master/benchmarks/phi-data/analytics.py,Healthcare Analytics,analytics,Faastlane: Accelerating function-as-a-service workflows,,,,,,,
Func58,Fun58resize-dev-fun,{},AWS Lambda,Python,10,128,https://github.com/csl-iisc/faastlane/blob/master/benchmarks/prediction-pipeline/resize.py,"ML Prediction 
Service",resize,Faastlane: Accelerating function-as-a-service workflows,,,,,,,
Func59,Fun59predict,{},AWS Lambda,Python,30,1024,https://github.com/csl-iisc/faastlane/blob/master/benchmarks/prediction-pipeline/predict.py,"ML Prediction 
Service",predict,Faastlane: Accelerating function-as-a-service workflows,,,,,,,
Func60,Fun60render-dev-fun,input/func60_input.json,AWS Lambda,Python,3,128,https://github.com/csl-iisc/faastlane/blob/master/benchmarks/prediction-pipeline/render.py,"ML Prediction 
Service",render,Faastlane: Accelerating function-as-a-service workflows,,,,,,,
Func61,Fun61readcsv-dev-fun,{},AWS Lambda,Python,5,128,https://github.com/csl-iisc/faastlane/blob/master/benchmarks/sentiment-analysis/readcsv.py,Sentiment Analysis,readcsv,Faastlane: Accelerating function-as-a-service workflows,,,,,,,
Func62,Fun62sentiment-dev-fun,"{""body"": {""reviewType"": 0, ""reviewID"": ""123"", ""customerID"": ""456"", ""productID"": ""789"", ""feedback"": ""Great product""}}",AWS Lambda,Python,5,128,https://github.com/csl-iisc/faastlane/blob/master/benchmarks/sentiment-analysis/sentiment.py,Sentiment Analysis,sentiment,Faastlane: Accelerating function-as-a-service workflows,,,,,,,
Func63,Fun63python-dev-fun,"{""cmds"": OrderedDict([(""sleep"", 0), (""stat"", {""argv"": 1}), (""run"", False), (""io"", False), (""net"", False), (""cpu"", False), (""cpuu"", False)])}",AWS Lambda,Python,3,128,https://github.com/liangw89/faas_measure/tree/master/code/python,,Python-GetSystemInformation,Peeking Behind the Curtains of Serverless Platforms,,,,,,,
Func64,Fun64fetch-file-and-store-in-s3-dev-save,"{""image_url"": ""http://e.hiphotos.baidu.com/image/pic/item/a1ec08fa513d2697e542494057fbb2fb4316d81e.jpg"",""key"": ""github.jpg""}",AWS Lambda,JavaScript,6,1024,https://github.com/serverless/examples/tree/master/aws-node-fetch-file-and-store-in-s3,Feature Extraction,aws-node-fetch-file-and-store-in-s3,Secure serverless computing using dynamic information flow control,,,,,,,
Func65,Fun65analysis-s3-image-dev-imageAnalysis,"{""body"": {""bucket"": ""bucketwendycyn1"",""imageName"": ""github.jpg""}}",AWS Lambda,JavaScript,10,512,https://github.com/serverless/examples/tree/master/aws-node-rekognition-analysis-s3-image,Feature Extraction,aws-node-rekognition-analysis-s3-image,Secure serverless computing using dynamic information flow control,,,,,,,
Func66,Func66Graphmst,{"size":1000},AWS Lambda,Python,120,512,https://github.com/spcl/serverless-benchmarks/tree/master/benchmarks/500.scientific/502.graph-mst,SeBS,Graph MST,A Mean-Field Game Approach to Cloud Resource Management with Function Approximation,Using Unused: Non-Invasive Dynamic FaaS Infrastructure with HPC-Whisk,,,,,,
Func67,Func67Graphbfs,{"size":1000},AWS Lambda,Python,120,512,https://github.com/spcl/serverless-benchmarks/tree/master/benchmarks/500.scientific/503.graph-bfs,SeBS,Graph BFS,A Mean-Field Game Approach to Cloud Resource Management with Function Approximation,Memento: Architectural Support for Ephemeral Memory Management in Serverless Environments,Canary: Fault-Tolerant FaaS for Stateful Time-Sensitive Applications,Using Unused: Non-Invasive Dynamic FaaS Infrastructure with HPC-Whisk,,,,
Func68,Func68dynamicHtml,"{""username"": 'testname', 'random_len': 1000}",AWS Lambda,Python,10,128,https://github.com/spcl/serverless-benchmarks/tree/master/benchmarks/100.webapps/110.dynamic-html/python,SeBS,dna-visualisation,Memento: Architectural Support for Ephemeral Memory Management in Serverless Environments,UnFaaSener: Latency and Cost Aware Offloading of Functions from Serverless Platforms,,,,,,
Func69,Func69dynamicHtmlnodejs,"{""username"": ""testname"", ""random_len"": 1000}",AWS Lambda,JavaScript,10,128,https://github.com/spcl/serverless-benchmarks/tree/master/benchmarks/100.webapps/110.dynamic-html/nodejs,SeBS,dna-visualisation,Memento: Architectural Support for Ephemeral Memory Management in Serverless Environments,UnFaaSener: Latency and Cost Aware Offloading of Functions from Serverless Platforms,,,,,,
Func70,Func70Video,{"key1": 1},AWS Lambda,Python,20,2048,https://github.com/rohanbasuroy/ProPack/tree/master/deployment_pack/video,,Thousand Island Scanner Video Processing,ProPack: Executing Concurrent Serverless Functions Faster and Cheaper,,,,,,,
Func71,Func71Sort,{"key1": 2},AWS Lambda,Python,3,128,https://github.com/rohanbasuroy/ProPack/tree/master/deployment_pack/sort,,Map Reduce Sort (Sort),ProPack: Executing Concurrent Serverless Functions Faster and Cheaper,,,,,,,
Func72,Func72StatelessCost,{"key1": 2},AWS Lambda,Python,20,2048,https://github.com/rohanbasuroy/ProPack/tree/master/deployment_pack/statelesscost,,Stateless Cost,ProPack: Executing Concurrent Serverless Functions Faster and Cheaper,,,,,,,
